,report_month,portal_id,product,calendar_days_remaining,day of month,mrr_net_pm_bom,cancel_classified,geography,segment,sub_segment,partner_managed,employee_size,employee_size_value,marketing_health_check,sales_health_check,count_calls_by_owner_l90,count_emails_by_owner_l90_measure,count_of_integrations,renewal_month,subscription_cancel,cancel_dollars,primary_colors,age,edition
24938,2022-03,2516558,CMSHub,16,16,30.67,early_cancel,EMEA,IBERIA/CEE,CHAVES RODRIGUEZ,No,26 to 200,200.0,4,4,0.0,5.0,46.0,1.0,1.0,-30.67,0.0,1.0,Starter
24939,2022-03,2554224,CMSHub,31,1,240.0,prior_cancel,NAM,NAM CST,CST,No,1 to 25,25.0,4,0,0.0,1.0,3.0,1.0,1.0,-240.0,0.0,62.0,Professional
24940,2022-03,2554224,MarketingHub,31,1,40.0,prior_cancel,NAM,NAM CST,CST,No,1 to 25,25.0,4,0,0.0,1.0,3.0,1.0,1.0,-40.0,0.0,62.0,Starter
24941,2022-03,2566458,CMSHub,4,28,876.0,late_cancel,NAM,SMB,MASTANDREA,No,1 to 25,10.0,4,3,1.0,1.0,24.0,0.0,1.0,-876.0,0.0,6.0,Enterprise
24942,2022-03,2579161,CMSHub,31,1,180.0,prior_cancel,EMEA,EMEA CST,EMEA CST,No,1 to 25,25.0,3,1,0.0,0.0,19.0,1.0,1.0,-180.0,1.0,36.0,Professional
24943,2022-03,2579161,MarketingHub,31,1,570.0,prior_cancel,EMEA,EMEA CST,EMEA CST,No,1 to 25,25.0,3,1,0.0,0.0,19.0,1.0,1.0,-570.0,1.0,63.0,Professional
24944,2022-03,2579161,SalesHub,31,1,45.0,prior_cancel,EMEA,EMEA CST,EMEA CST,No,1 to 25,25.0,3,1,0.0,0.0,19.0,1.0,1.0,-45.0,2.0,64.0,Starter
24945,2022-03,2631654,CMSHub,31,1,392.536,prior_cancel,EMEA,EMEA CST,EMEA CST,No,1 to 25,10.0,0,0,0.0,0.0,5.0,1.0,1.0,-392.536,0.0,63.0,Professional
24946,2022-03,2658690,CMSHub,31,1,294.0,prior_cancel,EMEA,UKI MM/CORP,CARROLL,No,26 to 200,200.0,4,1,2.0,10.0,17.0,1.0,1.0,-294.0,0.0,63.0,Professional
24947,2022-03,2658690,MarketingHub,23,9,2343.6,early_cancel,EMEA,UKI MM/CORP,CARROLL,No,26 to 200,200.0,4,1,2.0,10.0,17.0,1.0,0.0,0.0,4.0,63.0,Professional
24948,2022-03,2658690,SalesHub,23,9,876.0,early_cancel,EMEA,UKI MM/CORP,CARROLL,No,26 to 200,200.0,4,1,2.0,10.0,17.0,1.0,1.0,-876.0,3.0,28.0,Professional
24949,2022-03,2658690,ServiceHub,31,1,396.0,prior_cancel,EMEA,UKI MM/CORP,CARROLL,No,26 to 200,200.0,4,1,2.0,10.0,17.0,1.0,1.0,-396.0,0.0,17.0,Professional
24950,2022-03,2679969,CMSHub,30,2,68.0,early_cancel,NAM,MID-MARKET,REYNOLDS,No,26 to 200,50.0,4,2,0.0,4.0,31.0,1.0,1.0,-68.0,0.0,63.0,Professional
24951,2022-03,2745528,CMSHub,31,1,27.6,prior_cancel,EMEA,EMEA CST,EMEA CST,No,26 to 200,50.0,4,4,0.0,0.0,24.0,0.0,1.0,-27.6,0.0,1.0,Starter
24952,2022-03,2886792,CMSHub,31,1,240.0,prior_cancel,NAM,CORE CC AMER,LOVETT-GRIFFIN,No,26 to 200,200.0,4,4,0.0,0.0,30.0,1.0,0.0,0.0,1.0,44.0,Professional
24953,2022-03,2886792,MarketingHub,31,1,3370.0,prior_cancel,NAM,CORE CC AMER,LOVETT-GRIFFIN,No,26 to 200,200.0,4,4,0.0,0.0,30.0,1.0,0.0,0.0,4.0,50.0,Enterprise
24954,2022-03,2886792,SalesHub,31,1,900.0,prior_cancel,NAM,CORE CC AMER,LOVETT-GRIFFIN,No,26 to 200,200.0,4,4,0.0,0.0,30.0,1.0,0.0,0.0,5.0,48.0,Professional
24955,2022-03,2977053,CMSHub,31,1,90.0,prior_cancel,NAM,CORE CC AMER,LOVETT-GRIFFIN,No,Undefined,,3,0,0.0,0.0,0.0,1.0,1.0,-90.0,0.0,60.0,Professional
24956,2022-03,3013010,CMSHub,21,11,270.0,early_cancel,NAM,NAM CST,CST,No,201 or Above,10000.0,4,0,0.0,0.0,14.0,1.0,0.0,0.0,1.0,60.0,Professional
24957,2022-03,3013010,MarketingHub,31,1,1150.88,prior_cancel,NAM,NAM CST,CST,No,201 or Above,10000.0,4,0,0.0,0.0,14.0,1.0,0.0,0.0,3.0,60.0,Professional
24958,2022-03,3043303,CMSHub,31,1,240.0,prior_cancel,NAM,CORE CC AMER,LOVETT-GRIFFIN,No,26 to 200,200.0,3,0,0.0,0.0,4.0,1.0,1.0,-240.0,0.0,24.0,Professional
24959,2022-03,3043303,MarketingHub,31,1,40.0,prior_cancel,NAM,CORE CC AMER,LOVETT-GRIFFIN,No,26 to 200,200.0,3,0,0.0,0.0,4.0,1.0,1.0,-40.0,0.0,60.0,Starter
24960,2022-03,3049406,CMSHub,31,1,300.0,prior_cancel,NAM,NAM CST,CST,No,26 to 200,200.0,0,0,0.0,2.0,8.0,1.0,1.0,-300.0,0.0,60.0,Professional
